"","season","matchID","inn1EOIRuns","predO6EOIRuns","errO6Run","errO6Per","predO10EOIRuns","errO10Run","errO10Per","predO15EOIRuns","errO15Run","errO15Per","inn2EOIRuns","predO26EOIRuns","errO26Run","errO26Per","predO26TeamBatFirstWinMod","actualTeamBatFirstWin","correctPredWinModO26","predO26TeamBatFirstWinEOI","correctPredWinEOIO26","predO30EOIRuns","errO30Run","errO30Per","predO30TeamBatFirstWinMod","correctPredWinModO30","predO30TeamBatFirstWinEOI","correctPredWinEOIO30","predO30EOIRuns.1","errO35Run","errO35Per","predO35TeamBatFirstWinMod","correctPredWinModO35","predO35TeamBatFirstWinEOI","correctPredWinEOIO35"
"1140",2017,1082624,157,169.287221619376,12.29,7.83,160.143597529811,3.14,2,165.222268349542,8.22,5.24,96,134.003172974638,38,39.59,TRUE,TRUE,TRUE,TRUE,TRUE,114.155626338789,18.16,18.91,TRUE,TRUE,TRUE,TRUE,114.155626338789,11.64,12.12,TRUE,TRUE,TRUE,TRUE
"1141",2017,1082625,153,158.56761726569,5.57,3.64,145.34119308447,-7.66,-5.01,137.816109563667,-15.18,-9.92,153,153.426606793995,0.43,0.28,FALSE,FALSE,FALSE,FALSE,FALSE,154.489956738537,1.49,0.97,FALSE,FALSE,FALSE,FALSE,154.489956738537,-11.03,-7.21,FALSE,FALSE,TRUE,FALSE
"1142",2017,1082627,209,214.016628575253,5.02,2.4,232.960933881862,23.96,11.46,217.897706506547,8.9,4.26,161,169.234756408958,8.23,5.11,TRUE,TRUE,TRUE,TRUE,TRUE,182.821956200231,21.82,13.55,TRUE,TRUE,TRUE,TRUE,182.821956200231,14.3,8.88,TRUE,TRUE,TRUE,TRUE
"1143",2017,1082628,162,161.727786646805,-0.27,-0.17,169.629834597607,7.63,4.71,154.528156567709,-7.47,-4.61,165,160.101333885295,-4.9,-2.97,FALSE,FALSE,TRUE,TRUE,FALSE,149.51187781509,-15.49,-9.39,FALSE,TRUE,TRUE,FALSE,149.51187781509,-15.02,-9.11,FALSE,TRUE,TRUE,FALSE
"1144",2017,1082629,161,170.569494766109,9.57,5.94,161.511752943257,0.51,0.32,163.474571384095,2.47,1.54,167,126.11902361126,-40.88,-24.48,TRUE,FALSE,FALSE,TRUE,FALSE,123.133840585001,-43.87,-26.27,TRUE,FALSE,TRUE,FALSE,123.133840585001,-35.6,-21.32,TRUE,FALSE,TRUE,FALSE
"1145",2017,1082630,185,181.527091706843,-3.47,-1.88,171.246971192696,-13.75,-7.43,167.589739141128,-17.41,-9.41,189,179.741938350128,-9.26,-4.9,FALSE,FALSE,TRUE,TRUE,FALSE,186.090752416153,-2.91,-1.54,FALSE,TRUE,FALSE,TRUE,186.090752416153,2.57,1.36,FALSE,TRUE,FALSE,TRUE
"1146",2017,1082631,155,144.607083365465,-10.39,-6.71,140.641372202407,-14.36,-9.26,157.804552806375,2.8,1.81,158,156.503256410917,-1.5,-0.95,FALSE,FALSE,TRUE,FALSE,TRUE,153.217974446902,-4.78,-3.03,FALSE,TRUE,TRUE,FALSE,153.217974446902,3,1.9,FALSE,TRUE,FALSE,TRUE
"1147",2017,1082632,208,166.13798431746,-41.86,-20.13,182.618892523171,-25.38,-12.2,207.277990016565,-0.72,-0.35,214,185.479583116792,-28.52,-13.33,TRUE,FALSE,FALSE,TRUE,FALSE,203.623014084192,-10.38,-4.85,FALSE,TRUE,TRUE,FALSE,203.623014084192,3.93,1.83,FALSE,TRUE,FALSE,TRUE
"1148",2017,1082633,138,146.420825570091,8.42,6.1,136.518071978224,-1.48,-1.07,126.044694445844,-11.96,-8.66,119,132.412214399104,13.41,11.27,FALSE,TRUE,FALSE,TRUE,TRUE,127.155244354221,8.16,6.85,FALSE,FALSE,TRUE,TRUE,127.155244354221,-0.59,-0.49,TRUE,TRUE,TRUE,TRUE
"1149",2017,1082634,148,144.961184659272,-3.04,-2.05,133.651209237379,-14.35,-9.7,146.654941711587,-1.35,-0.91,136,139.562508467763,3.56,2.62,FALSE,TRUE,FALSE,TRUE,TRUE,145.509636240757,9.51,6.99,FALSE,FALSE,TRUE,TRUE,145.509636240757,-3.34,-2.45,FALSE,FALSE,TRUE,TRUE
"1150",2017,1082635,212,183.617407761576,-28.38,-13.39,179.194215930765,-32.81,-15.47,202.978418535527,-9.02,-4.26,66,146.356996358734,80.36,121.75,TRUE,TRUE,TRUE,TRUE,TRUE,136.875661353103,70.88,107.39,TRUE,TRUE,TRUE,TRUE,136.875661353103,-3.34,-2.45,FALSE,FALSE,TRUE,TRUE
"1151",2017,1082636,158,142.915184990294,-15.08,-9.55,143.202541318816,-14.8,-9.37,158.638436804356,0.64,0.4,159,184.866654342084,25.87,16.27,FALSE,FALSE,TRUE,FALSE,TRUE,175.563093105399,16.56,10.42,FALSE,TRUE,FALSE,TRUE,175.563093105399,20.71,13.02,FALSE,TRUE,FALSE,TRUE
"1152",2017,1082637,189,161.563921572354,-27.44,-14.52,179.968769770793,-9.03,-4.78,187.728250045415,-1.27,-0.67,192,178.025705064077,-13.97,-7.28,FALSE,FALSE,TRUE,TRUE,FALSE,189.040117555633,-2.96,-1.54,FALSE,TRUE,FALSE,TRUE,189.040117555633,-3.14,-1.63,FALSE,TRUE,TRUE,FALSE
"1153",2017,1082638,138,145.269610388151,7.27,5.27,141.094029027277,3.09,2.24,145.455107360399,7.46,5.4,140,134.989352583263,-5.01,-3.58,FALSE,FALSE,TRUE,TRUE,FALSE,146.144333175537,6.14,4.39,FALSE,TRUE,FALSE,TRUE,146.144333175537,4.87,3.48,FALSE,TRUE,FALSE,TRUE
"1154",2017,1082639,167,153.531010653234,-13.47,-8.07,145.563544580675,-21.44,-12.84,168.039637206494,1.04,0.62,153,164.406652733815,11.41,7.46,FALSE,TRUE,FALSE,TRUE,TRUE,160.207054099643,7.21,4.71,FALSE,FALSE,TRUE,TRUE,160.207054099643,5.72,3.74,FALSE,FALSE,TRUE,TRUE
"1155",2017,1082640,195,161.36547996248,-33.63,-17.25,172.575387106562,-22.42,-11.5,187.999119022854,-7,-3.59,197,171.87805939631,-25.12,-12.75,TRUE,FALSE,FALSE,TRUE,FALSE,160.717600026563,-36.28,-18.42,TRUE,FALSE,TRUE,FALSE,160.717600026563,-34.11,-17.32,TRUE,FALSE,TRUE,FALSE
