"","rowID","season","matchID","actualTeamBatFirstWin","predO0TeamBatFirstWinMod","predO20TeamBatFirstWinMod","predO26TeamBatFirstWinMod","predO30TeamBatFirstWinMod","predO35TeamBatFirstWinMod","predO26TeamBatFirstWinEOI","predO30TeamBatFirstWinEOI","predO35TeamBatFirstWinEOI","inn1EOIRuns","predO6EOIRuns","predO10EOIRuns","predO15EOIRuns","inn2EOIRuns","predO26EOIRuns","predO30EOIRuns","predO35EOIRuns","errO35Run","errO35Per","errO30Run","errO30Per","errO26Run","errO26Per","errO15Run","errO15Per","errO10Run","errO10Per","errO6Run","errO6Per","correctPredWinEOIO35","correctPredWinEOIO30","correctPredWinEOIO26","correctPredWinModO35","correctPredWinModO30","correctPredWinModO26","correctPredWinModO20","correctPredWinModO0"
"41",41,2015,829800,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,235,166,192,188,196,192,195,197,1,0.6,-1,-0.5,-4,-1.9,-47,-19.9,-43,-18.5,-69,-29.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"42",42,2015,829802,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,157,151,157,146,145,150,147,136,-9,-6.5,2,1.4,5,3.7,-11,-7.3,0,-0.3,-6,-4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"43",43,2015,829804,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,185,206,204,177,180,163,154,149,-31,-17.2,-26,-14.6,-17,-9.2,-8,-4.6,19,10.1,21,11.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"44",44,2015,829806,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,119,145,141,117,120,91,108,115,-5,-3.8,-12,-9.8,-29,-24,-2,-1.8,22,18.6,26,22,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"45",45,2015,829810,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,171,176,162,130,166,154,160,164,-2,-1.5,-6,-3.7,-12,-7.2,-41,-23.9,-9,-5.5,5,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"46",46,2015,829814,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130,158,140,99,134,135,145,139,5,4,11,8.1,1,0.5,-31,-23.5,10,7.6,28,21.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"47",47,2015,829816,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,199,199,202,159,190,171,179,172,-18,-9.5,-11,-5.7,-19,-10.2,-40,-19.9,3,1.4,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"48",48,2015,829820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,113,142,134,94,114,122,138,172,-18,-9.5,24,21.2,8,7.2,-19,-16.7,21,18.9,29,25.9,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"49",49,2015,829822,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,187,191,208,169,162,165,176,154,-8,-5.2,14,8.9,3,1.9,-18,-9.6,21,11.4,4,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"50",50,2015,829824,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,180,175,159,154,109,161,164,140,31,28.8,55,50.4,52,48.1,-26,-14.7,-21,-11.8,-5,-2.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
